# !!!!! DON'T EDIT THIS COLUMN AT ALL !!!!!,TEXT IN THIS COLUMN SHOULD BE TRANSLATED IN DESIRED LANGUAGE
# Please use Excel (or similar) as editor for this file to be sure formatting will not be broken!!!,
# Lines starting with # will be ignored.,Column separator is comma!! (configure Excel or similar to use comma)
Existing record not found in database.,Înregistrarea nu a fost găsită în baza de date.
Model is invalid.,Model invalid.
Error loading default CSV export library.,Eroare la incărcarea librariei default de export CSV.
Model not set. Nothing to query.,Modelul nu e precizat.
Couldn't load action depencies.,Nu am putut încărca dependenţele acţiunii.
Error loading paginator parameters.,Eroare la încărcarea parametrilor paginatorului.
Error rendering paginator details.,Eroare la randarea detaliilor paginatorului.
Error validating template resource.,Eroare la validarea resurselor pentru template.
Plugin not found in database.,Nu am găsit pluginul în baza de date.
Error loading model %s.,Eroare la încărcarea modelului %s.
Error adding role [%s] to database.,Eroare la adăugarea rolului [%s] în baza de date.
months,luni
month,lună
minutes,minute
minute,minut
Feature files,Fişiere de feature
Context files,Fişiere context
Couldn't load plugin %s,Nu am putut încărca pluginul %s
ACTIVATED,ACTIVAT
Active,Activ
Main table,Tabela principală
%s ago,%s în urmă
No plugins installed yet.,Nu este instalat nici un plugin.
Continue,Continuă
Contact Emails,Emailuri de Contact
You should login first...,Trebuie mai întâi să vă logaţi...
Yes,Da
Your message was succesfully sent. Thank you!,Mesajul dumneavoastră a fost trimis cu succes. Mulțumim!
Contact Us: %s,Contactaţi-ne: %s
Welcome,Bine aţi venit
"Your password expired %s ago. For security reasons, please <a href=\""%s\"">change your password</a>.","Parola a expirat acum %s. Din motive de securitate, va rugăm să vă <a href=\""%s\"">schimbaţi parola</a>."
years,ani
year,an
DONE,GATA
seconds,secunde
Options,Opţiuni
Downloaded file too big.,Fişierul este prea mare.
second,secundă
Site Security,Securitate Site
PHS Root path,Rădăcina PHS (absolută)
PHS Domain,Domeniu PHS
PHS SSL Domain,Domeniu SSL PHS
for HTTPS requests,pentru cereri HTTPS
PHS Cookie Domain,Domeniu de cookie PHS
PHS Session Name,Nume sesiune PHS
PHS Port,Port PHS
"for \""normal\"" requests (HTTP)",pentru cereri ”normale” (HTTP)
"If 80, leave blank","Pentru 80, lăsați gol"
PHS SSL Port,Port SSL PHS
"If 443, leave blank","Pentru 443, lăsați gol"
PHS Domain path,Cale domeniu PHS
DB Driver,Driver DB
DB host,Host DB
DB Username,User DB
DB Password,Parola DB
Database,Baza de date
Tables prefix,Prefix tabele
DB Port,Port DB
DB Charset,Charset DB
Permanent Connections,Conexiuni permanente
Driver Settings,Setări driver
Test connection,Test conexiune
Step 3,Pasul 3
Site Timezone,Fusul orar al site-ului
Choose,Alege
GMT,GMT
Selected Timezone,Fus orar selectat
Site Name,Nume Site
This name will be used when displaying site name.,Acest nume va fi folosit când se va afișa numele site-ului.
Site Build Version,Versiunea Site-ului
Site on Debug Mode,Site pe Mod Debug
Plugin %s %s with success.,Plugin %s %s cu succes.
INACTIVATED,INACTIVAT
NOT INSTALLED,NU E INSTALAT
NOT ACTIVE,INACTIV
Status %s,Status %s
Route,Rută
Status should be %s,Statusul ar trebui să fie %s
not,nu
Installed,Instalat
Invalid validation code.,Cod de validare invalid.
Account not found in database.,Contul nu a fost găsit în baza de date.
Inactive,Inactiv
Suspended,Suspendat
Deleted,Şters
Unknow error.,Eroare necunoscută.
Error running REMOTE request.,Eroare la rularea cererii REMOTE.
Error loading required resources.,Eroare la încărcarea resurselor necesare.
Error obfuscating plugin settings.,Eroare la salvarea detaliilor produsului. Încercaţi din nou.
Error obtaining background job command arguments.,Eroare la salvarea detaliilor în baza de date. Încercați din nou.
Error loading remote domains model.,Eroare la încărcarea modelului de domenii remote.
Error obtaining remote API instance.,Eroare la salvarea detaliilor produsului. Încercaţi din nou.
Couldn't initialize remote API object.,Nu am putut încărca meniul de editare produs.
Request not allowed.,Cerere nepermisă.
Method not allowed.,Metodă nepermisă.
Invalid request.,Cerere invalidă.
Access denied.,Acces nepermis.
Error decoding message.,Eroare la decodarea mesajului.
Error interpreting the request.,Eroare la interpretarea cererii.
Commands,Comenzi
Plugin name,Nume plugin
Upgradable,Se poate actualiza
Result error: %s,Eroare rezultat: %s
Error while parsing data from inside source.,Eroare la prelucrarea datelor din sursa internă.
Invalid internal keys.,Chei interne invalide.
Source file too big.,Fişierul sursă este prea mare.
Error installing plugins model.,Eroare la instalarea modelelor pluginului.
record,înregistrare
records,înregistrări
Displaying results...,Afişare rezultate...
in %s,în %s
Error installing model %s.,Eroare la instalarea modelului %s.
Language is invalid.,Limbajul este invalid.
day,zi
hours,ore
hour,oră
weeks,săptămâni
week,săptămână
Behat integration,Integrare Behat
Unknown error.,Eroare necunoscută.
Error running API request.,Eroare la rularea cererii API.
Step 4,Pasul 4
ERROR,EROARE
Error inactivating plugin,Eroare la inactivarea plugin-ului
Found %s plugin directories...,Am găsit %s directoare de plugin-uri...
Please provide a valid email address.,Vă rugăm să furnizați o adresă de email validă.
Unknown destination,Destinaţie necunoscută
Core plugin,Plugin de bază
Is installed,Instalat
Is active,Activ
Tables,Tabele
Available suites: %s.,Suite disponibile: %s.
AVAILABLE for Behat tests,DISPONIBIL pentru teste Behat
INSTALLED for Behat tests,INSTALAT pentru teste Behat
PHPUnit integration,Integrare PHPUnit
Tests,Teste
AVAILABLE,DISPONIBIL
Plugin %s is %s%s.,Plugin-ul %s este %s%s.
%s is not a valid email address for site contact email.,Adresa de email %s nu este o adresă de email validă pentru emailul de contact al siteului.
Setting up crypto configuration...,Configuraţia pentru criptare...
Crypt Key not provided.,Cheia de criptare nu este furnizată.
Crypting Key,Cheie de Criptare
"hexa, 32 chars string","hexa, 32 caractere"
Generate keys,Generare chei
Error instantiating plugin.,Eroare la instanţierea pluginului.
Update URL vailable for %s.,Actualizare variabilă URL pentru %s.
Update token invalid.,Token de update invalid.
Please provide a valid status.,Furnizaţi un status valid.
Authentication failed.,Autentificarea a eşuat.
INSTALLED,Instalat
Vendor,Vendor
Version,Versiune
days,zile
Not authorized.,Neautorizat.
Error not provided.,Eroare nu este furnizată.
Please provide language you want to switch to.,Precizaţi limba în care doriţi să schimbaţi interfaţa.
Invalid language provided.,Limba precizată este invalidă.
Site Contact,Contact Site
Bad parameters.,Parametri greşiţi.
Route is invalid.,Ruta este invalidă.
Error executing route.,Eroare la executarea rutei.
Error executing route [%s].,Eroare la executarea rutei [%s].
Invalid HTTP method.,Metodă HTTP invalidă.
HTTP method %s not allowed.,Metoda HTTP %s nepermisă.
Invalid HTTP protocol.,Protocol HTTP invalid.
Please provide a command.,Vă rugăm să oferiți o comandă.
Distribution plugin,Plugin de distribuţie
Agent jobs,Joburi de agent
Runs once %ss,Rulează odată la %s
Unknown or not active action.,Acţiune necunoscută sau inactivă.
Controller doesn't appear to be a PHS instance.,Controller-ul nu pare a fi un controller de PHS.
Unknown or not active controller.,Controller necunoscut sau inactiv.
Private key is empty.,Cheia privată este goală.
Internal keys array is invalid!,Arraz-ul de chei interne este invalid!
